2016-01-04,4.44,4.97,4.4,4.95,38450146,0
2016-01-05,4.89,5.09,4.84,5.01,23644581,0
2016-01-06,4.77,4.8755,4.6,4.68,24545655,0
2016-01-07,4.43,4.64,4.355,4.41,24134482,0
2016-01-08,4.44,4.53,4.261,4.44,28361601,0
2016-01-11,4.49,4.5,4.08,4.17,24234320,0
2016-01-12,4.27,4.28,3.75,4.05,26908506,0
2016-01-13,4.1,4.18,3.61,3.64,21480899,0
2016-01-14,3.61,3.82,3.56,3.71,28020787,0
2016-01-15,3.48,3.6,3.28,3.56,27327810,0
2016-01-19,3.58,3.61,2.95,3.08,26479400,0
2016-01-20,2.86,3.45,2.69,3.32,36867847,0
2016-01-21,3.25,3.66,3.17,3.55,24334523,0
2016-01-22,3.82,4.15,3.46,3.51,34570002,0
2016-01-25,3.27,3.6,2.95,2.95,26618074,0
2016-01-26,3.08,3.25,2.88,3.19,28092465,0
2016-01-27,3.22,3.63,3.17,3.28,28772345,0
2016-01-28,3.52,3.57,3.1,3.16,29655387,0
2016-01-29,3.19,3.46,3.16,3.39,25557526,0
2016-02-01,3.32,3.38,3.1,3.21,16930290,0
2016-02-02,3.12,3.14,2.99,2.99,17627688,0
2016-02-03,3.08,3.39,2.75,3.36,27588295,0
2016-02-04,3.4,3.65,3.19,3.26,39074750,0
2016-02-05,3.21,3.26,3.03,3.06,21366748,0
2016-02-08,2.56,2.59,1.5,2.04,121949067,0
2016-02-09,2.09,2.09,1.8,1.95,39155022,0
2016-02-10,1.99,2.005,1.63,1.7,32484014,0
2016-02-11,1.66,1.81,1.53,1.78,50756997,0
2016-02-12,1.86,1.89,1.56,1.59,49549925,0
2016-02-16,1.68,1.91,1.65,1.86,39102673,0
2016-02-17,1.94,1.99,1.85,1.88,35876475,0
2016-02-18,1.97,2.14,1.9,1.98,37230426,0
2016-02-19,1.94,2.03,1.9,2,20661839,0
2016-02-22,2.09,2.49,2.07,2.39,33878417,0
2016-02-23,2.53,2.71,2.16,2.19,49640137,0
2016-02-24,2.44,2.74,2.35,2.69,62089096,0
2016-02-25,2.64,2.9,2.5,2.56,39696500,0
2016-02-26,2.89,2.89,2.65,2.7,30746600,0
2016-02-29,2.82,2.82,2.53,2.61,44404394,0
2016-03-01,2.64,2.78,2.55,2.76,24021588,0
2016-03-02,2.62,3.75,2.6,3.4,76204369,0
2016-03-03,3.37,4.72,3.32,4.27,138377657,0
2016-03-04,4.59,5.43,4.3,5.08,188907873,0
2016-03-07,5.38,5.76,5.18,5.23,116601839,0
2016-03-08,5.05,5.055,4.1,4.3,65183771,0
2016-03-09,4.56,4.7,4.3,4.63,39874468,0
2016-03-10,4.62,4.74,4.35,4.61,42308907,0
2016-03-11,4.88,4.99,4.64,4.7,40384254,0
2016-03-14,4.42,4.5,4.27,4.38,39537455,0
2016-03-15,4.2,4.26,3.95,4.18,35903433,0
2016-03-16,4.3,4.59,4.26,4.39,46248383,0
2016-03-17,4.62,4.88,4.45,4.79,39946129,0
2016-03-18,5.08,5.3,4.77,4.91,86765166,0
2016-03-21,4.93,5.05,4.79,4.88,24767347,0
2016-03-22,4.78,4.94,4.66,4.82,17445342,0
2016-03-23,4.74,4.83,4.1,4.13,33984948,0
