2016-01-04,73.24,74.09,71.41,72.61,1903525,0
2016-01-05,72.96,74.39,72.12,73.2,1432949,0
2016-01-06,71.99,73.26,69.11,70.27,1833450,0
2016-01-07,68.19,69.51,66.04,66.85,1758705,0
2016-01-08,67.6,68.71,64.82,65.1,2269334,0
2016-01-11,65.23,66.39,62.04,65.17,3104315,0
2016-01-12,65.67,69.01,63.41,65.97,2244257,0
2016-01-13,66.44,67.93,61.63,61.83,1955166,0
2016-01-14,62.05,66.65,58.55,65.72,2594734,0
2016-01-15,63.85,66.085,62.55,65.8,2311379,0
2016-01-19,67.19,67.45,62.15,64.43,1926100,0
2016-01-20,62.69,65.9356,61.25,64.64,1549799,0
2016-01-21,64.88,66.72,63.14,63.66,1244581,0
2016-01-22,65.1,66.37,63.5,64.3,1329796,0
2016-01-25,64.21,64.99,62.69,63.47,1152641,0
2016-01-26,63.67,64.83,61.5,64.31,1176897,0
2016-01-27,64.28,65.97,61.89,62.36,1702604,0
2016-01-28,63.44,63.49,56.49,57.3,2884678,0
2016-01-29,58.1,59.39,56.95,58.09,2889363,0
2016-02-01,57.72,63.05,57.5,62.16,2531037,0
2016-02-02,65,68.18,62.68,65.71,6068652,0
2016-02-03,66.83,68.85,64.27,68.32,3971087,0
2016-02-04,68,71.18,67.61,68.8,2270181,0
2016-02-05,69.22,71.42,68.83,69.48,2830199,0
2016-02-08,68.6,68.67,63.1,65.14,2552359,0
2016-02-09,64.26,66.61,60.63,63.01,3760902,0
2016-02-10,63.92,65.42,62.11,62.49,2365918,0
2016-02-11,61.13,61.72,59.4,60.52,2394736,0
2016-02-12,61.44,63.01,58.86,62.35,1941486,0
2016-02-16,63.89,64.29,62.4,64.22,1627001,0
2016-02-17,65.64,68.08,64.84,67.33,1708429,0
2016-02-18,67.09,67.32,64.63,66.2,1368112,0
2016-02-19,66.21,66.89,64,64.74,1427440,0
2016-02-22,65.64,65.98,63.68,65.27,2062102,0
2016-02-23,65,67.56,64.98,65.34,1139974,0
2016-02-24,64.32,66.4,63.12,66.26,1636861,0
2016-02-25,66.52,68.69,65.9,67.32,1212351,0
2016-02-26,67.83,70.57,67.31,69.24,1848469,0
2016-02-29,68.05,68.875,64.605,65.03,3443606,0
2016-03-01,65.62,65.88,63.371,65.65,3064423,0
2016-03-02,65.58,66.82,64.81,66.47,1499504,0
2016-03-03,65.47,65.55,62.9,63.59,1711771,0
2016-03-04,63.54,64.31,61.54,62.15,1720502,0
2016-03-07,62.1,67.23,61.13,64.92,1771222,0
2016-03-08,64.84,64.84,61.78,61.92,2020432,0
2016-03-09,62.19,64.3,61.92,63.43,1905605,0
2016-03-10,63.46,64.36,62.095,63.5,1537754,0
2016-03-11,64.79,69.08,64.46,68.97,2828707,0
2016-03-14,68.78,69.86,67.58,69.61,1789235,0
2016-03-15,67.775,67.775,57.69,59.51,10039265,0
2016-03-16,58.245,59.14,50.9,55.69,18452953,0
2016-03-17,56.36,56.71,51.04,53.42,8547189,0
2016-03-18,53.31,57,51.14,54.62,8903481,0
2016-03-21,54.93,59.78,54.53,58.96,4500393,0
2016-03-22,57.83,61.83,57.21,61.05,3065855,0
2016-03-23,60.97,61.94,59.61,60.44,1977949,0
2016-03-24,59.68,61.46,58.66,60.06,2265402,0
2016-03-28,60.67,61.245,58.43,58.98,2257179,0
2016-03-29,58.39,61.47,57.62,61.36,2099956,0
2016-03-30,61.73,62.37,59.83,59.91,1528634,0
2016-03-31,60.65,62,58.93,61.28,1797071,0
2016-04-01,60.23,64.9225,60.23,64.31,2552185,0
2016-04-04,64.18,64.59,63.04,63.75,2466066,0
2016-04-05,63.65,65.2,62.38,62.5,2310715,0
2016-04-06,62.5,65.4,61.35,65.23,2318314,0
2016-04-07,65.4,66.42,63.38,64.26,2054439,0
2016-04-08,64.93,65.5,63.1,63.29,1766626,0
2016-04-11,63.45,63.45,61.01,61.15,1934644,0
2016-04-12,60.25,60.36,56.85,58.4,3107229,0
2016-04-13,58.79,60.66,57.675,60.13,2460102,0
2016-04-14,59.95,60.47,58.66,58.92,1511890,0
2016-04-15,59.12,60.36,59,59.11,2011754,0
2016-04-18,58.67,60.49,58.16,60.37,1759914,0
2016-04-19,60.67,62.96,60.53,61.86,2063483,0
2016-04-20,61.84,63.49,60.85,61.78,2012580,0
2016-04-21,61.61,65.71,61.61,64.7,3226458,0
2016-04-22,65.22,68,65.02,66.27,2338478,0
2016-04-25,65.44,65.72,64.02,64.09,1790479,0
2016-04-26,64.41,65.62,63.49,65.37,1292404,0
2016-04-27,65.35,66.14,65,65.39,1177289,0
2016-04-28,65.24,66.36,63.57,63.81,1474949,0
2016-04-29,63.67,63.74,60.88,62.52,2021792,0
2016-05-02,62.44,62.96,59.97,60.71,3194608,0
2016-05-03,67.49,68.4,63.47,64.84,5550174,0
2016-05-04,64.08,64.39,61.87,63.08,2600423,0
2016-05-05,62.63,62.66,59.96,60.82,2400782,0
2016-05-06,59.02,59.53,54.5201,56.4,6798616,0
2016-05-09,57.29,60.27,57.1405,59.85,2680471,0
2016-05-10,60.37,62.03,58.93,59.79,2728997,0
2016-05-11,59.63,61.685,57.72,57.75,2366268,0
2016-05-12,58.14,58.96,56.32,57.42,2388932,0
2016-05-13,57.27,58.79,56.85,58.4,1451530,0
2016-05-16,58.4,59.87,57.4512,59.74,1593732,0
2016-05-17,59.44,62.39,58.8,61.99,6280630,0
2016-05-18,61.75,63.12,60.2,60.57,2024981,0
2016-05-19,59.93,61.3,58.42,58.97,1819109,0
2016-05-20,59.43,61.12,58.64,61.03,1699224,0
2016-05-23,61.21,61.79,59.11,59.23,1649707,0
2016-05-24,59.58,61.22,58.96,60.87,1153773,0
2016-05-25,60.91,61.43,59.7,60.61,1846605,0
2016-05-26,60.79,61.73,60.275,61.48,1441038,0
2016-05-27,61.96,63.56,61.89,62.83,1371675,0
2016-05-31,63.07,64.19,62.82,63.36,2062621,0
2016-06-01,63.33,65.66,62.57,65.19,1684231,0
2016-06-02,65.3,67.05,64.76,65.9,1573682,0
2016-06-03,65.56,65.56,63.6101,65.11,1005602,0
2016-06-06,64.5,65.84,62.7915,65.02,1387656,0
2016-06-07,63,65.43,62.47,64.41,1707011,0
2016-06-08,64.64,64.64,62.75,63.07,1359520,0
2016-06-09,62.85,63.5,62.205,62.53,923763,0
2016-06-10,61.89,62.15,59.46,59.77,1968818,0
2016-06-13,59.25,60.96,58.85,59.63,1710023,0
