2016-01-04,59.05,59.25,57.755,58.16,2755564,0
2016-01-05,58.09,58.65,57.81,58.08,1239586,0
2016-01-06,57.3,57.95,57.11,57.62,1615838,0
2016-01-07,57.31,58.84,57.22,57.67,2260674,0
2016-01-08,58.09,59.34,57.85,58.74,2670674,0
2016-01-11,58.97,59.48,56.55,57.26,2547713,0
2016-01-12,57.4,59.17,57.2008,59.16,1865542,0
2016-01-13,59.3,59.92,58.23,58.33,2276955,0
2016-01-14,58.53,58.75,57.53,58.19,1368964,0
2016-01-15,56.67,57.18,55.85,56.77,2098125,0
2016-01-19,57.36,57.76,56.02,56.39,2498500,0
2016-01-20,55.77,56.56,53.91,56.03,1815096,0
2016-01-21,56.11,56.61,55.11,55.83,1163581,0
2016-01-22,56.66,57.49,56.35,57.38,1330308,0
2016-01-25,56.96,57.26,56.02,56.18,1913113,0
2016-01-26,56.2,56.7125,55.91,56.52,2002710,0
2016-01-27,56.59,57.41,55.97,56.3,1407155,0
2016-01-28,56.72,57.04,55.39,55.96,1833640,0
2016-01-29,56.27,58.02,56.02,58.01,1816154,0
2016-02-01,57.38,57.98,56.76,57.62,1195740,0
2016-02-02,56.83,57.125,55.91,56.64,1448779,0
2016-02-03,57.26,57.81,55.92,57.21,1177815,0
2016-02-04,57.19,59.07,57.05,58.49,2020039,0
2016-02-05,58.36,58.43,55.04,55.31,1976408,0
2016-02-08,54.89,54.97,52.91,54.29,1946652,0
2016-02-09,53.64,54.67,53.39,53.71,1985239,0
2016-02-10,54.22,55.51,53.97,54.55,1513707,0
2016-02-11,53.58,54.33,53.39,53.95,1403976,0
2016-02-12,54.37,54.98,53.76,54.9,1548338,0
2016-02-16,55.39,56.01,55.03,55.46,2580617,0
2016-02-17,50.1,53.5,49.89,52.81,14845927,0
2016-02-18,53,53.46,50.9,52.15,6451465,0
2016-02-19,51.8,52.2592,50.37,51.46,4258100,0
2016-02-22,51.7,52.495,51.44,52.46,3564132,0
2016-02-23,51.16,51.4,50.23,50.65,2917897,0
2016-02-24,50.17,51.85,50.01,51.79,2612792,0
2016-02-25,51.87,52.115,51.09,51.36,1587309,0
2016-02-26,51.82,52.17,51.33,52.01,1639636,0
2016-02-29,51.93,52.16,51.05,51.06,1414757,0
2016-03-01,51.48,51.53,51.07,51.48,2021558,0
2016-03-02,51.52,51.85,50.66,51.3,1992888,0
2016-03-03,51.12,51.285,49.59,50,5209127,0
2016-03-04,50.21,52.15,49.9,51.64,4820079,0
2016-03-07,51.24,53.42,51.21,52.61,3416919,0
2016-03-08,52.57,53.78,52.28,52.79,3290547,0
2016-03-09,53.03,53.71,52.98,53.54,3380162,0
2016-03-10,53.65,54.45,52.83,53.4,2560380,0
2016-03-11,53.87,54.06,53.18,54.01,2232411,0
2016-03-14,54,54.65,53.15,53.3,2101286,0
2016-03-15,52.97,53.2,51.915,52.08,1953666,0
2016-03-16,52.03,53.04,51.8,52.65,1430172,0
2016-03-17,52.59,52.882,51.91,52.3,1654030,0
2016-03-18,52.53,53.6,52.43,53.48,2439945,0
2016-03-21,53.19,53.41,52.7,53.14,1653073,0
2016-03-22,52.71,54.85,52.71,54.56,3068988,0
2016-03-23,54.54,54.55,52.22,52.66,3651832,0
2016-03-24,52.49,52.9,51.13,51.46,3631816,0
2016-03-28,51.72,51.94,51.26,51.57,1874106,0
2016-03-29,51.54,52.51,51.51,52.48,2392298,0
2016-03-30,52.86,53,52.52,52.72,992748,0
2016-03-31,52.56,53.37,52.52,52.96,1723781,0
2016-04-01,52.79,54.32,52.6,54.08,2238997,0
2016-04-04,54.14,54.98,54.0416,54.6,2523412,0
2016-04-05,54.15,54.35,53.6,54.03,1223756,0
2016-04-06,54.16,55.27,54.06,55.23,1355451,0
2016-04-07,55.8,56.48,55.65,55.98,3004740,0
2016-04-08,56.2,56.66,55.685,56.45,2679547,0
2016-04-11,56.56,56.97,54.96,55.11,1627355,0
2016-04-12,55.05,55.585,54.6,55.5,1259774,0
2016-04-13,55.48,55.945,55.17,55.91,1080110,0
2016-04-14,55.94,56.52,55.7835,56.44,1125019,0
2016-04-15,56.51,57.04,56.19,57.02,1847697,0
2016-04-18,56.69,58.28,56.58,58.08,2016046,0
2016-04-19,58.14,58.44,57.59,58.04,1591627,0
2016-04-20,58.04,58.6,58.02,58.36,1180722,0
2016-04-21,58.17,58.85,58.08,58.46,1527871,0
2016-04-22,58.33,58.79,57.73,58.51,1504908,0
2016-04-25,58.42,58.89,57.92,58.57,1074205,0
2016-04-26,58.66,58.87,57.6768,58.16,877147,0
2016-04-27,58.34,58.57,57.36,57.81,1084402,0
2016-04-28,57.57,58.31,57.08,57.65,1081393,0
2016-04-29,57.11,57.31,55.42,56.14,2477181,0
2016-05-02,56.24,56.98,56.01,56.96,1613533,0
2016-05-03,56.5,57.08,56.2,56.92,1372265,0
2016-05-04,56.53,56.86,55.53,55.72,1276733,0
2016-05-05,55.72,56.37,55.35,55.46,2131415,0
2016-05-06,54.23,54.915,52.89,53.64,6282444,0
2016-05-09,53.83,55.56,53.5,55.43,2902336,0
2016-05-10,55.61,55.8,54.9,55.24,2396905,0
2016-05-11,55.18,55.605,54.32,54.34,1050196,0
2016-05-12,54.7,54.88,53.85,54.46,1448329,0
2016-05-13,54.27,54.61,53.72,53.74,1586593,0
2016-05-16,53.75,54.59,53.75,54.46,1193173,0
2016-05-17,54.27,54.45,52.933,53.2,2157256,0
2016-05-18,53.1,53.71,52.8801,53.4,1707908,0
2016-05-19,53.25,53.78,52.84,53.62,1577021,0
2016-05-20,53.64,54.89,53.39,54.56,2090688,0
2016-05-23,54.48,55.01,54.1,54.14,1332946,0
2016-05-24,54.37,55.17,54.37,55.04,874414,0
2016-05-25,55.06,55.66,55.045,55.31,1059021,0
2016-05-26,55.17,55.26,54.7,54.98,754024,0
2016-05-27,55.15,55.4154,54.83,55.28,745505,0
2016-05-31,55.5,55.94,55.3,55.61,1735747,0
2016-06-01,55.58,55.84,55.385,55.62,1936545,0
2016-06-02,55.46,55.86,54.985,55.61,1471646,0
2016-06-03,55.26,55.61,55,55.22,872753,0
2016-06-06,55.21,55.54,54.91,55.2,1359527,0
2016-06-07,55.23,57.13,55.23,56.97,2606781,0
2016-06-08,57.01,57.32,56.83,57.09,1707630,0
2016-06-09,56.93,57.36,56.45,56.96,1109770,0
2016-06-10,56.24,56.955,55.4,55.61,1364411,0
2016-06-13,55.72,56.41,55.48,55.72,1067187,0
2016-06-14,55.62,55.94,55.34,55.5,2007539,0
2016-06-15,55.74,55.85,54.42,54.51,1470968,0
2016-06-16,54.28,54.41,53.3825,54.35,1935699,0
2016-06-17,54.4,54.4199,53.58,53.85,2026085,0
2016-06-20,54.27,54.71,53.71,53.75,1624921,0
2016-06-21,54,54.97,53.8,54.82,2304100,0
2016-06-22,54.72,55.55,54.52,55.28,2069849,0
2016-06-23,56.28,57.32,56.05,56.89,2371102,0
2016-06-24,54.75,55.99,54.35,55.13,2432971,0
2016-06-27,54.72,54.8,53.3288,53.71,1442465,0
2016-06-28,54.04,55.2,53.79,55.08,934656,0
2016-06-29,55.3,57.715,55.205,57.48,2372444,0
2016-06-30,57.67,58.74,57.37,58.6,2470683,0
2016-07-01,58.48,59.14,58.26,58.91,1568952,0
2016-07-05,58.25,58.52,57.83,58.26,1961472,0
2016-07-06,58.11,58.89,57.59,58.79,1538644,0
2016-07-07,58.73,59.73,58.0447,59.61,3140305,0
2016-07-08,59.99,60.79,59.54,60.62,1650680,0
2016-07-11,60.59,61.53,60.08,60.09,1282847,0
2016-07-12,60.07,61.26,60.02,60.74,1869358,0
2016-07-13,61.15,61.1997,60.225,60.36,1895231,0
2016-07-14,60.86,60.96,60.08,60.78,1149881,0
2016-07-15,61.03,61.25,60.53,60.58,1419163,0
2016-07-18,60.48,60.93,60.4,60.89,866995,0
2016-07-19,60.55,61.1,60.5,60.63,1101801,0
