2016-01-04,28.855,29.054,28.572,29.006,66455125,0
2016-01-05,28.977,29.129,28.761,29.036,58189825,0
2016-01-06,28.59,29.011,28.382,28.572,66320766,0
2016-01-07,28.005,28.293,27.25,27.364,97585540,0
2016-01-08,27.579,27.673,26.769,26.872,78829706,0
2016-01-11,26.956,28.26,26.683,26.994,61860118,0
2016-01-12,27.165,27.273,26.769,27.052,50416493,0
2016-01-13,27.305,27.447,26.636,26.673,58924156,0
2016-01-14,26.739,27.629,26.72,27.447,69020894,0
2016-01-15,26.579,27.165,26.541,26.909,73471961,0
2016-01-19,27.127,27.288,26.636,26.909,55040521,0
2016-01-20,26.38,26.853,25.955,26.448,93177219,0
2016-01-21,26.571,27.382,26.571,27.004,59286802,0
2016-01-22,26.966,26.975,26.172,26.673,92998536,0
2016-01-25,26.749,26.909,26.448,26.483,47478182,0
2016-01-26,26.513,26.956,26.493,26.739,44915324,0
2016-01-27,26.636,26.989,26.276,26.448,48808415,0
2016-01-28,26.655,26.777,26.38,26.646,42406103,0
2016-01-29,26.881,27.496,26.769,27.486,54596250,0
2016-02-01,27.401,27.418,26.975,27.052,45979574,0
2016-02-02,26.701,26.72,26.371,26.673,42423485,0
2016-02-03,26.816,27.098,26.324,27.078,46846942,0
2016-02-04,27.06,27.825,26.909,27.561,57163447,0
2016-02-05,27.532,27.579,26.729,26.956,55028453,0
2016-02-08,26.655,26.701,26.22,26.606,50918701,0
2016-02-09,26.21,26.956,26.21,26.71,39170483,0
2016-02-10,26.796,27.108,26.683,26.729,34393321,0
2016-02-11,26.21,26.473,25.596,25.927,85272307,0
2016-02-12,26.04,26.693,25.842,26.693,61013931,0
2016-02-16,26.994,27.418,26.843,27.26,49989089,0
2016-02-17,27.523,27.968,27.505,27.712,40500125,0
2016-02-18,27.673,27.717,27.382,27.467,32856881,0
2016-02-19,27.334,27.514,27.088,27.41,38183002,0
2016-02-22,27.629,27.85,27.579,27.777,40756221,0
2016-02-23,27.589,27.732,27.467,27.599,32957067,0
2016-02-24,27.295,27.438,26.823,27.354,47547181,0
2016-02-25,27.419,27.877,27.401,27.829,37685327,0
2016-02-26,27.895,28.144,27.886,27.992,30818973,0
2016-02-29,28.029,28.134,27.725,27.745,35870307,0
2016-03-01,28.001,28.535,27.905,28.448,33942079,0
2016-03-02,28.353,28.734,28.334,28.734,39057561,0
2016-03-03,28.753,28.942,28.62,28.773,29512321,0
2016-03-04,28.773,29.124,28.773,29,34693010,0
2016-03-07,28.809,28.99,28.685,28.838,27563934,0
2016-03-08,28.639,28.773,28.535,28.62,32699629,0
2016-03-09,28.714,28.753,28.535,28.61,26068767,0
2016-03-10,28.724,28.838,28.367,28.505,34816321,0
2016-03-11,28.695,29.114,28.695,28.886,33535971,0
2016-03-14,28.773,28.916,28.639,28.818,23274981,0
2016-03-15,28.59,28.916,28.59,28.828,30348447,0
2016-03-16,28.792,28.858,28.624,28.724,34498616,0
2016-03-17,28.773,29.619,28.729,29.476,63695343,0
2016-03-18,29.6,29.658,29.42,29.439,55009974,0
2016-03-21,29.372,29.704,29.314,29.6,28744827,0
2016-03-22,29.495,29.743,29.485,29.572,27345512,0
2016-03-23,29.553,29.743,29.524,29.58,28604997,0
2016-03-24,29.429,29.619,29.343,29.619,28984719,0
2016-03-28,29.648,30.181,29.605,29.98,41456354,0
2016-03-29,29.953,30.068,29.781,29.972,40485915,0
2016-03-30,30.237,30.419,30.21,30.305,36842739,0
2016-03-31,30.361,30.514,30.237,30.267,38687796,0
2016-04-01,29.989,30.484,29.944,30.4,41378247,0
2016-04-04,30.172,30.191,29.595,29.733,47170084,0
2016-04-05,29.467,29.638,29.305,29.495,32854663,0
2016-04-06,29.41,29.989,29.173,29.42,38474770,0
2016-04-07,29.248,29.305,29.049,29.164,35233945,0
2016-04-08,29.42,29.585,29.219,29.314,28153455,0
2016-04-11,29.353,29.515,29.238,29.238,26389486,0
2016-04-12,29.209,29.447,29.114,29.333,28837938,0
2016-04-13,29.495,29.609,29.457,29.495,24814219,0
2016-04-14,29.505,29.59,29.381,29.534,22578626,0
2016-04-15,29.58,29.609,29.447,29.544,25665580,0
2016-04-18,29.42,29.695,29.42,29.572,22133666,0
2016-04-19,29.648,29.714,29.524,29.658,24020088,0
2016-04-20,29.704,29.848,29.563,29.658,27875668,0
2016-04-21,29.629,29.781,29.372,29.495,41629434,0
2016-04-22,29.544,29.686,28.858,29.286,59324871,0
2016-04-25,29.333,29.381,28.942,29.209,37236852,0
2016-04-26,29.362,29.495,29.263,29.42,30124889,0
2016-04-27,29.457,29.524,29.338,29.447,24079747,0
2016-04-28,29.268,29.724,29.229,29.42,30275832,0
2016-04-29,29.277,29.485,29.134,29.277,30341637,0
2016-05-02,29.173,29.505,29.164,29.41,18014629,0
2016-05-03,29.173,29.238,28.896,29.164,29082417,0
2016-05-04,28.942,28.957,28.458,28.629,41775724,0
2016-05-05,28.695,28.792,28.373,28.458,33289639,0
2016-05-06,28.258,28.792,28.001,28.676,29725362,0
2016-05-09,28.61,28.649,28.21,28.438,28517084,0
2016-05-10,28.553,29.095,28.544,29.02,28489429,0
2016-05-11,29.04,29.277,28.886,28.886,24787119,0
2016-05-12,28.41,28.748,28.41,28.649,49640201,0
2016-05-13,28.535,28.669,28.125,28.22,37041322,0
2016-05-16,28.134,28.685,28.106,28.525,26973591,0
2016-05-17,28.458,28.649,28.166,28.286,35207145,0
2016-05-18,28.277,28.42,28.02,28.19,29204194,0
2016-05-19,27.924,28.039,27.668,27.953,35747005,0
2016-05-20,28.115,28.258,28.02,28.144,36629453,0
2016-05-23,28.106,28.249,28.001,28.076,24783340,0
2016-05-24,28.296,28.53,28.263,28.42,25413526,0
2016-05-25,28.562,28.867,28.525,28.649,29050345,0
2016-05-26,28.629,28.782,28.562,28.58,23784619,0
2016-05-27,28.695,28.743,28.6,28.676,20478179,0
2016-05-31,28.676,28.886,28.629,28.782,31819718,0
2016-06-01,28.6,28.695,28.458,28.669,22172385,0
2016-06-02,28.572,28.61,28.42,28.61,19977699,0
2016-06-03,28.58,28.61,28.381,28.505,24994058,0
2016-06-06,28.562,28.782,28.515,28.676,19385784,0
2016-06-07,28.695,28.952,28.685,28.695,26938742,0
2016-06-08,28.782,29.04,28.714,28.858,30591229,0
2016-06-09,28.714,28.876,28.58,28.792,27861074,0
2016-06-10,28.58,28.828,28.496,28.6,30907116,0
2016-06-13,28.544,28.685,28.363,28.401,34590775,0
2016-06-14,28.391,29,28.363,28.981,45858682,0
2016-06-15,29.02,29.429,29.01,29.124,45880265,0
2016-06-16,28.914,29.488,28.856,29.393,70271051,0
2016-06-17,29.402,29.47,29.21,29.355,57965304,0
2016-06-20,29.594,30.045,29.575,29.575,49923058,0
2016-06-21,29.623,29.748,29.613,29.68,37560731,0
2016-06-22,29.738,29.834,29.518,29.527,37535045,0
2016-06-23,29.795,29.94,29.709,29.92,41716627,0
2016-06-24,28.884,29.306,28.539,28.606,89251041,0
2016-06-27,28.338,28.414,27.983,28.117,57509255,0
2016-06-28,28.596,28.779,28.462,28.721,39815590,0
2016-06-29,29.269,29.374,29.066,29.306,37385834,0
2016-06-30,29.412,30.219,29.402,30.199,56615845,0
2016-07-01,30.055,30.343,30.045,30.209,34087453,0
2016-07-05,29.977,30.246,29.853,30.17,33732083,0
2016-07-06,29.996,30.505,29.991,30.449,33457589,0
2016-07-07,30.515,30.793,30.449,30.525,39108503,0
2016-07-08,30.688,30.957,30.688,30.889,40163480,0
2016-07-11,30.947,31.176,30.87,30.899,39261685,0
2016-07-12,30.995,31.167,30.822,30.947,39691267,0
2016-07-13,30.947,31.158,30.937,31.043,33815274,0
2016-07-14,31.176,31.388,31.167,31.301,35287001,0
2016-07-15,31.426,31.609,31.406,31.541,44070069,0
2016-07-18,31.551,31.599,31.33,31.571,39868941,0
2016-07-19,31.416,31.609,31.388,31.589,34973299,0
2016-07-20,31.619,31.656,31.37,31.446,37062618,0
2016-07-21,31.397,31.513,31.167,31.264,44669260,0
2016-07-22,30.439,30.765,30.4,30.755,60211343,0
2016-07-25,30.765,30.775,30.102,30.351,47663950,0
2016-07-26,30.38,30.439,30.036,30.189,38466003,0
2016-07-27,30.209,30.275,29.853,30.006,40903053,0
2016-07-28,29.93,30.036,29.815,29.977,31574284,0
2016-07-29,30.006,30.147,29.845,29.872,50090059,0
2016-08-01,29.853,29.95,29.757,29.881,32459124,0
2016-08-02,29.844,29.891,29.738,29.786,27983951,0
2016-08-03,29.767,29.969,29.762,29.863,20848748,0
2016-08-04,29.93,29.977,29.825,29.901,21154321,0
2016-08-05,29.996,30.17,29.95,30.006,22483178,0
2016-08-08,30.026,30.116,29.94,29.996,21299533,0
2016-08-09,29.96,30.075,29.881,30.026,20962099,0
2016-08-10,29.977,30.06,29.93,29.996,19273935,0
2016-08-11,30.036,30.093,29.93,30.016,39590095,0
2016-08-12,29.93,30.006,29.906,29.969,22231900,0
2016-08-15,30.026,30.075,29.95,29.969,20382842,0
2016-08-16,29.872,30.016,29.815,29.92,23310246,0
2016-08-17,29.987,30.05,29.911,30.016,18314212,0
2016-08-18,29.977,30.151,29.92,30.151,29225629,0
2016-08-19,30.045,30.121,29.911,29.977,25571102,0
2016-08-22,29.901,30.151,29.815,30.045,21317274,0
